# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2.1025 -9.68259e-14 -1.47781e-29 1.02599e-13 1.78586e-35 7.32703e-23 -3.19186e-36
2.103 -9.77052e-14 -1.66027e-29 1.00937e-13 -2.23827e-37 7.13858e-23 -6.25087e-36
2.1035 -9.85845e-14 6.18569e-30 9.93847e-14 2.66007e-36 6.96145e-23 -1.65149e-36
2.104 -9.94641e-14 -1.14309e-29 9.79353e-14 -7.11863e-36 6.79479e-23 -3.50341e-36
2.1045 -1.00344e-13 -1.55858e-29 9.65806e-14 5.11523e-36 6.6378e-23 4.58338e-36
2.105 -1.01226e-13 -9.54545e-30 9.53141e-14 9.00434e-36 6.48977e-23 4.47393e-36
2.1055 -1.02108e-13 2.6016e-30 9.41295e-14 9.89496e-36 6.35007e-23 6.32396e-37
2.106 -1.02992e-13 -1.60846e-29 9.30212e-14 -4.53067e-36 6.21811e-23 -6.75071e-37
2.1065 -1.03878e-13 -1.30857e-29 9.19842e-14 9.18986e-36 6.09335e-23 2.30176e-36
2.107 -1.04766e-13 -2.59818e-29 9.10139e-14 7.02283e-36 5.97532e-23 2.73028e-37
2.1075 -1.05656e-13 -1.20277e-29 9.01061e-14 -2.21057e-36 5.86356e-23 -1.59188e-36
2.108 -1.06549e-13 -1.36451e-29 8.92569e-14 5.83974e-36 5.75769e-23 -2.12175e-36
2.1085 -1.07444e-13 -1.68676e-29 8.84629e-14 -7.80085e-36 5.65732e-23 4.19687e-36
2.109 -1.08343e-13 -2.13522e-29 8.77208e-14 -5.13946e-40 5.56213e-23 3.81991e-36
2.1095 -1.09245e-13 -5.94305e-30 8.70278e-14 1.58704e-35 5.47181e-23 -2.88355e-36
2.11 -1.1015e-13 -1.32002e-29 8.63812e-14 -8.15587e-36 5.38608e-23 4.09164e-36
2.1105 -1.11059e-13 -1.2821e-29 8.57785e-14 5.73715e-37 5.30468e-23 -3.13518e-36
2.111 -1.11973e-13 -1.37646e-29 8.52176e-14 -8.20668e-36 5.22739e-23 2.57463e-36
2.1115 -1.1289e-13 9.65127e-30 8.46964e-14 5.03056e-36 5.15399e-23 2.63328e-36
2.112 -1.13812e-13 -7.55712e-30 8.4213e-14 2.28627e-36 5.08429e-23 -1.02074e-36
2.1125 -1.14739e-13 -3.89012e-30 8.37658e-14 -7.17297e-37 5.01813e-23 1.63119e-36
2.113 -1.15671e-13 -2.08505e-29 8.33534e-14 4.35309e-36 4.95536e-23 -1.07252e-36
2.1135 -1.16608e-13 -7.8053e-30 8.29743e-14 -3.87765e-37 4.89585e-23 -2.24218e-36
2.114 -1.17551e-13 -5.44167e-30 8.26275e-14 9.37335e-36 4.83949e-23 2.69391e-36
2.1145 -1.185e-13 -1.98873e-29 8.23119e-14 -7.09244e-36 4.78619e-23 7.83606e-36
